Title,Year,Mileage,Power,Price,Location,Image_URL
"PEUGEOT 508 2020 1.5 HDI AVTOMATIK NAVI CSMERA,6 Mes.garanci",2020,"100,000 km",96 kW (129 Hp),"15.990
 €",Кисела Вода / Скопје,//reklama5.mk/photos/big/447b89cc-3d5b-4069-8997-532a308e26e3.jpg
"Peugeot 307, 2002God. 1.6 Atest Plin, Registrirano",2002,"200,000 km",80 kW (107 Hp),"1.600
 €",Скопје Центар / Скопје,//reklama5.mk/photos/big/dbc58454-c941-4da1-ac4e-5af7ffca81f7.jpg
PEUGEOT 2008 2021 1.5HDI NAVI CAMERA 6 Mes.garancija,2021,"100,000 km",81 kW (109 Hp),"15.300
 €",Кисела Вода / Скопје,//reklama5.mk/photos/big/16a58b3c-214b-47c6-9dc4-fe52f741d2b2.jpg
renault megane,2017,"170,000 km",81 kW (109 Hp),"11.300
 €",Штип,//reklama5.mk/photos/big/f09125d5-8afa-4d39-a84a-571ec944821e.jpg
AUDI Q3 2.0 TDI Quattro S-Tronic,2014,"180,000 km",103 kW (138 Hp),"18.700
 €",Аеродром / Скопје,//reklama5.mk/photos/big/059ee4f9-ae20-4f8e-9fee-89c0d05e57ad.jpg
OPEL AGILA 1.2 BENZIN--EURO 5--MODEL 2010--NOVA!!!!!!,2010,"180,000 km",63 kW (84 Hp),"3.690
 €",Битола,//reklama5.mk/photos/big/c530ec62-ae2f-4773-a97b-b002847dea27.jpg
FIAT PUNTO EVO 1.3 MJET 84KS (2011),2011,"190,000 km",62 kW (83 Hp),"4.499
 €",Свети Николе,//reklama5.mk/photos/big/68f87722-ae56-4c1a-bc86-f3fd52bca81d.jpg
CITROEN BERLINGO 1.6HDI 92KS 2012godina,2012,"200,000 km",68 kW (91 Hp),"6.700
 €",Велес,//reklama5.mk/photos/big/08555314-5189-4c0b-ad59-182ccba82aae.jpg
CITROEN C3 PICASSO 1.6HDI 90KS 2009GODINA,2009,"200,000 km",66 kW (89 Hp),"3.800
 €",Велес,//reklama5.mk/photos/big/c689f35b-bf17-4cac-9726-7f89f3ef945f.jpg
Suzuki SX4 1.6 Ddis 90ks 2008g,2008,"190,000 km",66 kW (89 Hp),"1
 €",Кавадарци,//reklama5.mk/photos/big/c125ff9e-0f52-48ef-935a-a2327c9f6c5a.jpg
Peugeot 108 1.2 60kw 2014g NOVO,2014,"150,000 km",60 kW (80 Hp),"1
 €",Кавадарци,//reklama5.mk/photos/big/8f26aa92-9325-478f-b623-fcf906ab5778.jpg
Renault Espace 1.6 dCi Initiale Paris,2017,"170,000 km",120 kW (161 Hp),"19.700
 €",Конче / Радовиш,//reklama5.mk/photos/big/2266264e-2ce2-4f94-8d63-1abee91b0227.jpg
FORD FOCUS 1.6TDCI 115KS 2011GODINA,2011,"180,000 km",85 kW (114 Hp),"5.600
 €",Велес,//reklama5.mk/photos/big/3fcb24fd-4556-4afd-a8ca-de627d404d3a.jpg
Vw Touran (Turan) 1.9 tdi 77kw 2007god,2007,"200,000 km",77 kW (103 Hp),"5.600
 €",Кочани,//reklama5.mk/photos/big/ebfb2fdd-d1cf-4036-b5cb-8d25597a87c2.jpg
VW PASSAT 2.0TDI 140KS DSG 2013GODINA,2013,"200,000 km",103 kW (138 Hp),"10.500
 €",Велес,//reklama5.mk/photos/big/c1698cbe-8751-43e1-be7f-866ecdf30315.jpg
AUDI A6 2.0TDI 177KS 2012GODINA,2012,"200,000 km",130 kW (174 Hp),"12.500
 €",Велес,//reklama5.mk/photos/big/2e1493ad-7830-4998-8c42-18bce16ffc59.jpg
VW GOLF VI 1.6TDI 105KS 2011GODINA,2011,"190,000 km",77 kW (103 Hp),"6.500
 €",Велес,//reklama5.mk/photos/big/5cb5de02-74b1-49fc-8a97-3afdf5edb3d5.jpg
Renault Megane Coupe 1.5dci 110ks,2010,"190,000 km",85 kW (114 Hp),"5.000
 €",Кичево,//reklama5.mk/photos/big/d23bf3b5-be92-4f72-8b36-a54395669d99.jpg
Peugeot 208 Active,2013,"180,000 km",60 kW (80 Hp),"5.100
 €",Велес,//reklama5.mk/photos/big/25fe0b6d-3975-47b6-bcee-77651846f8e4.jpg
Mercedes B180,2011,"170,000 km",90 kW (121 Hp),"11.499
 €",Куманово,//reklama5.mk/photos/big/2af3b58b-3b31-4209-a1d5-2cfe6460dd48.jpg
VW PASSAT 2.0TDI 140KS 2011GODINA DSG,2011,"200,000 km",103 kW (138 Hp),"7.600
 €",Велес,//reklama5.mk/photos/big/9848d3a6-3f8b-44ca-bfc4-4e900db75c68.jpg
GOLF 1.6TDI 116ks DSG 7 2017g Avtomatic  Automatic ZAMENA MO,2017,"190,000 km",88 kW (118 Hp),По Договор,Скопје Центар / Скопје,//reklama5.mk/photos/big/7cb44207-71ac-4a02-97c7-8c716a6758fa.jpg
AUDI A 5 2.0 sportback,2012,"180,000 km",130 kW (174 Hp),"7
 €",Гази Баба / Скопје,//reklama5.mk/photos/big/c807ba69-1d2e-4cca-9a8e-d56ac775e51a.jpg
PEUGEOT 2008 1.6 HDi - 92ks *** ALLURE***,2014,"180,000 km",68 kW (91 Hp),"8.500
 €",Гази Баба / Скопје,//reklama5.mk/photos/big/612ecf14-2bfe-4d05-92e5-d67918461a9b.jpg
CITROEN C4 CACTUS -1.6 BLUE-HDi BUSINESS CLASS,2015,"170,000 km",74 kW (99 Hp),"1
 €",Гази Баба / Скопје,//reklama5.mk/photos/big/ff284e80-81d5-42c0-b3e4-1dc7343254b2.jpg
Mercedes C 300,2017,"90,000 km",170 kW (228 Hp),"26.900
 €",Карпош / Скопје,//reklama5.mk/photos/big/a6ee0bc1-d659-440a-80fa-2947d8f7de16.jpg
AUDI A3 - 1.9 TDI * PERFEKTNO*,2008,"190,000 km",77 kW (103 Hp),"5.800
 €",Гази Баба / Скопје,//reklama5.mk/photos/big/905713fa-9cd9-4411-a832-b01519f3b8ee.jpg
CITROEN C4 CACTUS -1.6 BLUE-HDi Feel*** BEZ GREBKA***,2016,"180,000 km",73 kW (98 Hp),"8.799
 €",Бутел / Скопје,//reklama5.mk/photos/big/b9abd1cd-6759-44fa-8752-91d6c88ff5f7.jpg
CITROEN C4 - 1.6 Benzin *** ODLICNO SOCUVANA***,2011,"150,000 km",88 kW (118 Hp),"4.650
 €",Бутел / Скопје,//reklama5.mk/photos/big/02e476a6-4019-4718-9f27-a797f0919d2d.jpg
"GOLF 5, 1.9 TDI (105KS) – 2007 g.",2007,"200,000 km",77 kW (103 Hp),"5.050
 €",Струга,//reklama5.mk/photos/big/dbfd11d2-1764-40e4-96e4-73e61d83f899.jpg
MERCEDES BENZ C220CDI 2001GOD PERFEKTEN 077626766..077626766,2001,"300,000 km",105 kW (141 Hp),"2.600
 €",Велес,//reklama5.mk/photos/big/d5501df9-e2c7-4c9f-a75b-61d40d2ff9f8.jpg
MERCEDES BENZ CLK 270CDI 2004GOD VO DOBRA SOSTOJBA,2004,"300,000 km",125 kW (168 Hp),"3.750
 €",Велес,//reklama5.mk/photos/big/2439d79e-3f14-4cc2-8ba2-79c049064e80.jpg
OPEL ASTRA H 2008godina 1.4twinport havarisana motor pali,,,,"999
 €",Илинден / Скопје,//reklama5.mk/photos/big/24b8ebfe-5fb8-48b1-ae1a-135a841253c6.jpg
Matiz-delovi,2006,"70,000 km",55 kW (74 Hp),"300
 МКД",Шуто Оризари / Скопје,//reklama5.mk/photos/big/f00e6a47-9a7c-4da8-867d-406065e3640d.jpg
Citroen berlingo,1999,"200,000 km",66 kW (89 Hp),"950
 €",Карпош / Скопје,//reklama5.mk/photos/big/7769bd92-e78c-4195-b2a6-954b96e4b1db.jpg
Opel signum 2.2 dti vo odlicna sostojba,2003,"300,000 km",92 kW (123 Hp),"2.950
 €",Чаир / Скопје,//reklama5.mk/photos/big/394e6670-fa02-471e-97ab-320c4553256b.jpg
Ford C Max 1.6 109hp -08 Titanium,2008,"200,000 km",81 kW (109 Hp),"3.399
 €",Скопје Центар / Скопје,//reklama5.mk/photos/big/a8b61388-a2ea-48f9-88c6-b41d3e07a0cf.jpg
Passat 8.5 R-line 2020 Variant,2019,"200,000 km",88 kW (118 Hp),"19.000
 €",Аеродром / Скопје,//reklama5.mk/photos/big/74895f7f-7ac9-4fc9-8313-bde14b08d61f.jpg
FIAT 500 1.3MULTIJET  20011GOD VO PERFEKTNA SOSTOJBA,2011,"150,000 km",70 kW (94 Hp),"4.650
 €",Велес,//reklama5.mk/photos/big/578faa2d-4abc-4efe-86ad-ea7e03df0738.jpg
Mercedes  e220d  amg,2017,"200,000 km",143 kW (192 Hp),По Договор,Куманово,//reklama5.mk/photos/big/878bbcf5-d334-4160-9d06-13ba8f889fd1.jpg
FORD MONDEO 2012GOD 1.6TDCI 116KS EURO 6,2012,"250,000 km",85 kW (114 Hp),"4.500
 €",Велес,//reklama5.mk/photos/big/5678cab9-4d28-4363-bf96-cc30f0952a94.jpg
SKODA SUPERB 1.6 TDI -17 DSG,2017,"200,000 km",90 kW (121 Hp),"15.000
 €",Карпош / Скопје,//reklama5.mk/photos/big/e14f3d4c-9175-4111-ad71-7f6d3f499c83.jpg
Mini One 1.6 90 HP 2002,2002,"180,000 km",66 kW (89 Hp),"1
 €",Карпош / Скопје,//reklama5.mk/photos/big/9e5c836f-d5a5-4d36-bfed-7aa5abdcffe6.jpg
Nissan Navara D40 2.5 DCI,2008,"200,000 km",130 kW (174 Hp),"11
 €",Скопје Центар / Скопје,//reklama5.mk/photos/big/eea053b1-34f3-4696-89b6-3b5e608e87eb.jpg
AUDI A3 SPORTBACK 2.0TDI 103KW 2012GODINA  MOZE ZAMENA,2012,"190,000 km",90 kW (121 Hp),"6.400
 €",Илинден / Скопје,//reklama5.mk/photos/big/eaa68327-00c6-41bb-be0c-fc86d2b83f36.jpg
MERCEDES SPRINTER SLEP 2.2 CDI 95KW ODLICHNO,2009,"350,000 km",95 kW (127 Hp),"14.990
 €",Крива Паланка,//reklama5.mk/photos/big/ce9c23c6-d1e4-45b4-9dbf-aa2e7c160886.jpg
VW TOURAN 1.9 TDI 77KW 105KS 7SEDISTA 6 BRZINI HIGHLINE,2006,"200,000 km",77 kW (103 Hp),"4.350
 €",Крива Паланка,//reklama5.mk/photos/big/0c81b463-b3b1-4eac-bcfa-1b69956abc2b.jpg
FORD FOCUS 1.6 TDCI 90 KS TITANIUM FEJSLIFT - 10.MT Auto,,,,"4.800
 €",Охрид,//reklama5.mk/photos/big/c3529ee6-cee3-4f0a-b442-0b2522bbccf4.jpg
Golf 6 2.0 110ps 2009,2009,"300,000 km",110 kW (148 Hp),"6.100
 €",Чаир / Скопје,//reklama5.mk/photos/big/707d78cc-e7dd-4e46-8715-3ef1060588e2.jpg
KIA CEED 1.6 CRDI 84KW 2009G EX MODEL ODLICHNA,2009,"200,000 km",84 kW (113 Hp),"4.300
 €",Крива Паланка,//reklama5.mk/photos/big/2f2b26ca-10e0-4ca9-bea4-99caf41d6679.jpg
HYUNDAI I30 1.4 BENZIN 80KW FACELIFT ODLICHNO,2012,"160,000 km",80 kW (107 Hp),"3.750
 €",Крива Паланка,//reklama5.mk/photos/big/1c8eed9a-9070-4835-9805-0cb17df3eaba.jpg
NISSAN QASHQAI 1.5 DCI 80KW ACCENTA MODELODLICHEN,2015,"200,000 km",80 kW (107 Hp),"11.600
 €",Крива Паланка,//reklama5.mk/photos/big/9c02da10-06c1-45d9-888b-edbb77991d21.jpg
AUDI A5 2010 2.0TDI MOZE ZAMENA,2010,"250,000 km",125 kW (168 Hp),"11.000
 €",Неготино,//reklama5.mk/photos/big/17f47a5c-358e-4f37-8024-27bb1e0cf104.jpg
MINI COUNTRYMAN 1.6D ODLICHEN REGISTRIRAN,2015,"180,000 km",80 kW (107 Hp),"8.400
 €",Крива Паланка,//reklama5.mk/photos/big/e089092d-a607-4a2b-b676-f8dd6670ef1c.jpg
NISSAN QASHQAI 1.5 DCI 81KW KEYLOCK N_TEC MODEL,2013,"200,000 km",81 kW (109 Hp),"7.999
 €",Крива Паланка,//reklama5.mk/photos/big/6e37c62f-1727-43ca-8eb7-62ab6735d768.jpg
OPEL MOKKA 1.7 CDTI 96KW 2015G 150000KM COSMO MODEL,2015,"150,000 km",96 kW (129 Hp),"10.600
 €",Крива Паланка,//reklama5.mk/photos/big/141bd1d5-78b6-4823-84b6-0b61098db5e7.jpg
ZAFIRA C 1.4 BENZIN TURBO REG DO 04.07.2026 SO ZELEN KARTON,2012,"200,000 km",103 kW (138 Hp),"1
 €",Гази Баба / Скопје,//reklama5.mk/photos/big/6c3e1642-9d5d-4dad-a477-ff14ca06d771.jpg
NISSAN QASHQAI 1.5 DCI 76KW 104KS ACCENTA MODEL,2011,"190,000 km",76 kW (102 Hp),"6.990
 €",Крива Паланка,//reklama5.mk/photos/big/2f300e0b-d8fd-4666-b548-1773f31aaa0d.jpg
NISSAN JUKE 1.5 DCI 81KW 110HP ACCENTA MODEL,2014,"200,000 km",81 kW (109 Hp),"7.400
 €",Крива Паланка,//reklama5.mk/photos/big/5f177fe8-4f80-477e-babd-33f5ada45a77.jpg
SEAT LEON FR FACELIFT,2009,"190,000 km",125 kW (168 Hp),"7.700
 €",Карпош / Скопје,//reklama5.mk/photos/big/7a725fc8-b8e0-4027-a9de-e084bcf9d40a.jpg
BMW 118d 2.0D 143KS FUTURA MODEL ODLICHNO,2009,"180,000 km",105 kW (141 Hp),"5.300
 €",Крива Паланка,//reklama5.mk/photos/big/25808cde-4eb3-4b81-842f-63d2aec83e4c.jpg
CITROEN C3 1.6HDI 55KW FACELIFT ODLICHNO,2017,"160,000 km",55 kW (74 Hp),"5.990
 €",Крива Паланка,//reklama5.mk/photos/big/b9d7ed94-d642-4670-817b-7387a128c885.jpg
AUDI A3 2.0 tdi 2016 QUATRRO,2016,"190,000 km",150 kW (201 Hp),"1
 €",Кисела Вода / Скопје,//reklama5.mk/photos/big/b416bd35-e3e9-4a86-b502-5affef67eefe.jpg
TOYOTA AYGO 1.0 BENZIN FACELIFT REGISTRIRANO ODLICHNO,2012,"190,000 km",50 kW (67 Hp),"2.900
 €",Крива Паланка,//reklama5.mk/photos/big/cbeb8325-6132-4e8e-8ad7-c4726b5fa9a9.jpg
NISSAN JUKE 1.5 DCI 79KW ACCENTA MODEL ODLICHNO,2011,"200,000 km",79 kW (106 Hp),"6.990
 €",Крива Паланка,//reklama5.mk/photos/big/fab24cd1-960c-466e-aad9-2576a203a475.jpg
Se prodava Skoda Fabia 1.9 tdi 74 kw,2006,"250,000 km",74 kW (99 Hp),"2.600
 €",Неготино,//reklama5.mk/photos/big/766adaa4-1e4e-4baf-a207-688e8d96f764.jpg
PEUGEOT 2008 1.6 HDI 68KW 92KW ALLURE MODEL,2015,"200,000 km",68 kW (91 Hp),"8.600
 €",Крива Паланка,//reklama5.mk/photos/big/8155b71c-965d-458b-b200-8ccffea01964.jpg
PEUGEOT 308 1.6HDI 80KW EXCLUSIVE ODLICHNO,2009,"200,000 km",80 kW (107 Hp),"4.250
 €",Крива Паланка,//reklama5.mk/photos/big/f8a8fb96-9837-442b-a4e6-4246e470fb99.jpg
VW JETTA 1.9TDI 77KW 105KS REGISTRIRAN ODLICHNA,2008,"190,000 km",77 kW (103 Hp),"4.500
 €",Крива Паланка,//reklama5.mk/photos/big/0c7753ae-dd31-4ced-aaf9-985d6f090985.jpg
RENAULT CAPTUR 1.5 DCI 66KW 90KS ACTIVE MODEL ODLICHEN,2015,"190,000 km",66 kW (89 Hp),"8.650
 €",Крива Паланка,//reklama5.mk/photos/big/f732b8bb-1019-4de4-b111-7f303e5019de.jpg
4400€ 530D AVTOMATIK MOZE ZAMENA ZA DRUGO VOZILO,2005,"200,000 km",218 kW (292 Hp),"3.900
 €",Илинден / Скопје,//reklama5.mk/photos/big/31b05426-12db-4c29-aba3-4f5eee68b3fc.jpg
VW PASSAT B8 2.0 TDI 15.200€,,,,"15.200
 €",Илинден / Скопје,//reklama5.mk/photos/big/3ec36a98-3ec1-484b-9e1f-c1160d7d24a1.jpg
MAZDA 2 1.3 BENZIN 63KW NAJNOV UVOZ CH,2008,"200,000 km",63 kW (84 Hp),"1
 €",Куманово,//reklama5.mk/photos/big/02874e21-928d-45fd-88bf-d7517228ee30.jpg
SEAT IBIZA 1.6 TDI 77KW NAJNOV UVOZ CH,2010,"170,000 km",77 kW (103 Hp),"1
 €",Куманово,//reklama5.mk/photos/big/87899aa1-2f21-4446-84fe-249c76c0d035.jpg
FIAT QUBO 1.3 JTD 55KW NAJNOV UVOZ CH,2009,"200,000 km",55 kW (74 Hp),"1
 €",Куманово,//reklama5.mk/photos/big/a0edb09e-e3d6-46c4-9fcc-2c5fb3ebbc21.jpg
CITROEN C3 1.4 BENZIN 54KW NAJNOV UVOZ CH EURO5,2012,"180,000 km",54 kW (72 Hp),"1
 €",Куманово,//reklama5.mk/photos/big/5e417ed4-819e-4a57-b2a1-9a4e3db612f7.jpg
MERCEDES-BENZ C200 2.2 CDi AVANTGARDE W204,2012,"200,000 km",100 kW (134 Hp),"10.700
 €",Кисела Вода / Скопје,//reklama5.mk/photos/big/7a366a86-ff38-43d8-9d4a-9e219665c323.jpg
AUDI A3 1.9TDI (2009),2009,"200,000 km",77 kW (103 Hp),По Договор,Гази Баба / Скопје,//reklama5.mk/photos/big/ec74e065-b293-4996-a0c4-9976ee7e7214.jpg
Audi A4 2.0 TDI Automatik,2008,"300,000 km",105 kW (141 Hp),"7.700
 €",Гази Баба / Скопје,//reklama5.mk/photos/big/7bde8094-52c6-495d-a1bb-3ab136667d75.jpg
Peugeot 207 1.6HDI Registriran Klima Novi gumi,2006,"300,000 km",80 kW (107 Hp),"3.000
 €",Кисела Вода / Скопје,//reklama5.mk/photos/big/d59881cf-2979-4fb8-8f28-0469fb61a41d.jpg
Peugeot 208 1.2 benzin 80ks 2012 godina,2012,"150,000 km",60 kW (80 Hp),"5.400
 €",Битола,//reklama5.mk/photos/big/7f88dd00-0bd5-4d1f-be63-ee474d824a11.jpg
Fiat Punto Evo 1.4 benzin 76ks 2013 godina,2013,"190,000 km",57 kW (76 Hp),"4.200
 €",Битола,//reklama5.mk/photos/big/79eba62d-606f-422d-808f-4be8ecd3e9b2.jpg
Volvo XC90,2006,"250,000 km",120 kW (161 Hp),По Договор,Илинден / Скопје,//reklama5.mk/photos/big/8d1a74e6-be71-4d07-90d0-aa6ceaf2014e.jpg
Vw Golf 5 1.9TDI 2008godina,2008,"200,000 km",77 kW (103 Hp),"4.500
 €",Кисела Вода / Скопје,//reklama5.mk/photos/big/c29c2812-5a58-4684-b8b3-fdaf449f8b3e.jpg
Opel Astra H - 1.7 CDTi Cosmo,2006,"250,000 km",74 kW (99 Hp),"2.400
 €",Штип,//reklama5.mk/photos/big/ff9e5e96-2b90-471c-b081-796f500b293f.jpg
Skoda Fabia 1.2i 2011 god,2011,"200,000 km",50 kW (67 Hp),"3.400
 €",Богданци / Гевгелија,//reklama5.mk/photos/big/a4cc012a-ff15-4891-964f-38c07d6dfea9.jpg
VW GOLF 6 1.6 TDI 105 KS 2011 STYLE MODEL KOLATA E ISTO NOVA,2011,"200,000 km",77 kW (103 Hp),По Договор,Штип,//reklama5.mk/photos/big/605a409b-15a4-44a7-959e-1630f9b64453.jpg
Citroen C1 1.4hdi 2007 god,2007,"200,000 km",40 kW (54 Hp),"3.100
 €",Богданци / Гевгелија,//reklama5.mk/photos/big/78546319-abc6-470f-9133-e937aebed045.jpg
Opel corsa D 1.2 Benzin 2011 godina,2011,"190,000 km",63 kW (84 Hp),"3.250
 €",Радовиш,//reklama5.mk/photos/big/2a9c94ac-d96c-407c-a4e4-2bcc6b98969e.jpg
Smart for two Смарт,1998,"180,000 km",40 kW (54 Hp),"2.150
 €",Гази Баба / Скопје,//reklama5.mk/photos/big/e780298a-6b49-40ab-b491-1eaa6f13d41b.jpg
VW POLO 1.2 TDI 75ks BlueMotion (2011),2011,"180,000 km",55 kW (74 Hp),"4.999
 €",Свети Николе,//reklama5.mk/photos/big/bebb38fd-1217-4c09-bec5-9d2a41a7ed26.jpg
VW POLO 1.2 TDI 75ks BlueMotion (2011),2011,"170,000 km",55 kW (74 Hp),"4.999
 €",Свети Николе,//reklama5.mk/photos/big/077b0054-bec7-4f99-9d93-8be577d0b0f1.jpg
Renault Megane 2 Coupe Cabriolet,2007,"150,000 km",99 kW (133 Hp),"3.100
 €",Штип,//reklama5.mk/photos/big/6668f2e2-ccbd-4a84-addc-bf6ae821c248.jpg
BMW X1  2.0D S-Drive  143ks,2011,"190,000 km",105 kW (141 Hp),"9.350
 €",Гази Баба / Скопје,//reklama5.mk/photos/big/21d977a5-b225-4377-b907-452702cc1244.jpg
HYUNDAI I30 SO FABRICHKI PLIN (FUL OPREMA) 2010TA PERFEKTNO!,2010,"190,000 km",80 kW (107 Hp),"3.999
 €",Битола,//reklama5.mk/photos/big/c10dd673-250f-457e-8636-d7431c13220a.jpg
HYUNDAI GETZ 1.1 49KW FUL OPREMA TOP SOSTOJBA 134000 EXTRA!!,2009,"130,000 km",49 kW (66 Hp),"2.150
 €",Битола,//reklama5.mk/photos/big/5826dff7-c585-4bab-be31-0f258cbefc24.jpg
SKODA  OCTAVIA - 1.9-TDI ➡ 105  K.Sili,2008,"200,000 km",77 kW (103 Hp),"3
 €",Битола,//reklama5.mk/photos/big/58959c7d-a04c-4956-9873-9beebfbf7466.jpg
SEAT LEON 2.0 150KS DSG PANORAMA MATRIX,2013,"250,000 km",110 kW (148 Hp),По Договор,Скопје Центар / Скопје,//reklama5.mk/photos/big/21ee6900-2011-4573-a7f7-63f67833b59d.jpg
VW TOURAN 2.0 TDI DSG F1 2012/11,2011,"200,000 km",103 kW (138 Hp),"8.599
 €",Бутел / Скопје,//reklama5.mk/photos/big/c4ab958c-c355-494a-b9ac-b0f7692ab658.jpg
Opel Corsa C 1.0 benzin/plin,2002,"180,000 km",43 kW (58 Hp),"1.700
 €",Битола,//reklama5.mk/photos/big/01d7c8a2-0179-4ebd-ae38-36c3d791a6f0.jpg
RAV 4,2021,"130,000 km",180 kW (241 Hp),"33.500
 €",Струмица,//reklama5.mk/photos/big/33880902-cd7e-42a0-adce-c45242aae0fe.jpg
Renault kangoo EXTRA,,,,"6.000
 €",Струмица,//reklama5.mk/photos/big/11f5baa6-7d30-4cf4-984f-cd7b5b913759.jpg
Seat Ibiza 1.2 TDI Registrirano 2011 Klima Full Oprema...,2011,"180,000 km",55 kW (74 Hp),"4.900
 €",Тетово,//reklama5.mk/photos/big/e2cec757-a21a-4d10-9cb2-4f3f30a56771.jpg
Chevrolet Spark 1.0i Klima 2012 Full Oprema...,2012,"200,000 km",50 kW (67 Hp),"3.050
 €",Тетово,//reklama5.mk/photos/big/a1323b10-8770-402b-897a-21ac8a456e85.jpg
Audi A4 2.0tdi 170ps,2007,"180,000 km",125 kW (168 Hp),По Договор,Прилеп,//reklama5.mk/photos/big/3f220d12-8fb9-4b0c-9ceb-089f59de71bf.jpg
Opel Corsa 1.0 Benzin Klima Registrirano Full Oprema...,2007,"190,000 km",44 kW (59 Hp),"2.750
 €",Тетово,//reklama5.mk/photos/big/88052f5e-a4b1-4d1c-b581-700587f27438.jpg
Passat B6 2.0TDI Automatic Registrirano Full Oprema...,2006,"190,000 km",100 kW (134 Hp),"4.600
 €",Тетово,//reklama5.mk/photos/big/7123c6dd-3e53-49d7-a55a-1b72c021141c.jpg
KIA CEED 1.4 80KW 2009TA 154000KM FUL OPREMA ODLICNA!!!,2009,"150,000 km",80 kW (107 Hp),"3.850
 €",Битола,//reklama5.mk/photos/big/7e7826be-4b69-4cf8-94b9-eb94eb0669e1.jpg
Seat Leon FR 2.0 TDI Full Oprema...Reg cella godina,2007,"250,000 km",125 kW (168 Hp),"5.400
 €",Тетово,//reklama5.mk/photos/big/39cda896-00eb-43d1-bcd5-5ba4ef0bac51.jpg
HYUNDAI I30 1.4 80KW 2009TA PERFEKTNA SOSTOJBA KAKO NOVA!!!,2009,"190,000 km",80 kW (107 Hp),"4.199
 €",Битола,//reklama5.mk/photos/big/db7da7b9-c8a4-45ab-ada3-cfdd1b3503d0.jpg
BMW X5  3.0 XD 265HP MPACKET,2019,"95,000 km",195 kW (261 Hp),"63.000
 €",Битола,//reklama5.mk/photos/big/9bc2279e-9c3f-4fc8-8b5c-e6a3b6d1a0a7.jpg
RENAULT CLIO GRANDTOUR TOM TOM NAVI 1.2 TCE 101KS 2011 GOD.,2011,"160,000 km",74 kW (99 Hp),"4.800
 €",Битола,//reklama5.mk/photos/big/7e738b38-1f11-4a25-aba3-488b1d0dfdc4.jpg
OPEL CORSA C 1.2 59KW TWINPORT ATEST PLIN KLIMATRONIK EXTRA!,2005,"180,000 km",59 kW (79 Hp),"2.150
 €",Битола,//reklama5.mk/photos/big/6b401e52-2b58-40fc-9e27-0cbeda4c27bc.jpg
VW PASSAT 1.9 TDI BLUEMOTION FUL OPREMA REGISTRIRAN 8/2026TA,2009,"200,000 km",77 kW (103 Hp),"5.500
 €",Битола,//reklama5.mk/photos/big/46933aee-8c2d-4733-9c3e-62fcdd1068d3.jpg
Golf 5 1.4 TSI,2008,"170,000 km",88 kW (118 Hp),"3.300
 €",Бутел / Скопје,//reklama5.mk/photos/big/e0da57e1-a6e3-42fd-809d-6873c95ec491.jpg
Mini One r56 1.6 benzin,2005,"200,000 km",66 kW (89 Hp),"2.700
 €",Охрид,//reklama5.mk/photos/big/ac76a9ce-15f9-497a-9db1-4dcc196e5547.jpg
Se prodava Hyndai Santa FE 2.2 crdi,2012,"200,000 km",147 kW (197 Hp),"11.000
 €",Штип,//reklama5.mk/photos/big/59dce092-6cdf-4d95-b6fe-50b624c64f53.jpg
VW Golf 8 2.0TDI 2020god moze zamena,2020,"140,000 km",85 kW (114 Hp),"21.000
 €",Велес,//reklama5.mk/photos/big/04465f88-ff2c-4443-b38c-a95f2ecaf535.jpg
Fiat 500 1.2i 70ks 2008g uvoz od CH,2008,"180,000 km",51 kW (68 Hp),"4.700
 €",Велес,//reklama5.mk/photos/big/fa61a264-7161-4108-84ad-f7eccc9bbdb5.jpg
BMW E90 320D 177KS LCI MOZNA ZAMENA,2010,"200,000 km",130 kW (174 Hp),"7
 €",Сарај / Скопје,//reklama5.mk/photos/big/936b3f8a-5c42-447d-b937-fa22063abca1.jpg
OPEL CORSA 1.3 DIZEL 2014 GOD. EXTRA,2014,"150,000 km",55 kW (74 Hp),"1
 €",Кисела Вода / Скопје,//reklama5.mk/photos/big/9934155d-fdb9-41f6-bf20-d56edc042b2e.jpg
Се продава GOLF VI KARAVAN со зелен картон 2026,2012,"250,000 km",75 kW (101 Hp),"6.400
 €",Гази Баба / Скопје,//reklama5.mk/photos/big/6e0ae3cb-ebc6-44c1-9853-1a67c0f3e2cb.jpg
VW Tuareg 3.0 TDI V6,2011,"20,000 km",150 kW (201 Hp),По Договор,Бутел / Скопје,//reklama5.mk/photos/big/bd1a11b3-b9ee-4408-b401-de785261dfc9.jpg
Passat B8 2.0 TDI (4Motion) Digital Cockpit,2016,"200,000 km",140 kW (188 Hp),По Договор,Бутел / Скопје,//reklama5.mk/photos/big/0426bfd6-80e3-424f-82f4-d53cdddb9e8c.jpg
VW Polo 1.2 - Porsche Makedonija,2009,"85,000 km",44 kW (59 Hp),По Договор,Пробиштип,//reklama5.mk/photos/big/38033b22-26f6-4d7c-9152-b4ac71ca6ff2.jpg
Peugeot 207 1.6 Benzin Pnorama Ful Oprema Servisna 2008 god,2008,"170,000 km",110 kW (148 Hp),"3.400
 €",Бутел / Скопје,//reklama5.mk/photos/big/d1ca15f5-2a39-435f-9ed7-01a809bdc943.jpg
