Title,Year,Mileage,Power,Price,Location,Image_URL
AUDI Q2 1.6TDI S-tronik 125000km UNIKAT,2019,"120,000 km",85 kW (114 Hp),"18.499
 €",Кисела Вода / Скопје,//reklama5.mk/photos/big/16d0c21d-74a9-468b-9d54-29f5d2567db0.jpg
Mercedes Benz A160 CDI (Avantgarde),2010,"200,000 km",60 kW (80 Hp),"1
 €",Скопје Центар / Скопје,//reklama5.mk/photos/big/a445db6e-022e-48c8-96af-11edef005311.jpg
Audi Q3 2.0 TDI(190hp) quattro/S-Tronic/NAVI/LED/PDC,2014,"150,000 km",140 kW (188 Hp),"15.250
 €",Гостивар,//reklama5.mk/photos/big/eb59e901-6e42-4df2-a691-b0cd477f61df.jpg
Opel Corsa 1.3 cdti 75ks 2013,2013,"200,000 km",55 kW (74 Hp),"1
 €",Гази Баба / Скопје,//reklama5.mk/photos/big/ecf8d1ad-8474-4fa3-805f-607b4c8c4a0c.jpg
Audi A3 2.0 TDI Facelift.,2008,"200,000 km",103 kW (138 Hp),"6.400
 €",Кавадарци,//reklama5.mk/photos/big/0496a3be-ec3d-4896-8ad9-8ff54cfe9878.jpg
Audi A3 Sportback (8V) G-tron 1.4 TFSI CNG / 2014 – S-tronic,2014,"190,000 km",81 kW (109 Hp),"1
 €",Гази Баба / Скопје,//reklama5.mk/photos/big/538bde3c-e216-40f3-9366-94c07772c7b9.jpg
VW Passat B8 1.6 TDI,2016,"190,000 km",88 kW (118 Hp),"13.800
 €",Гостивар,//reklama5.mk/photos/big/35b02e6a-e010-42f0-83b0-5bbbad6b6804.jpg
BMW X1 2.0xdrive 177KS,2010,"190,000 km",131 kW (176 Hp),"10.500
 €",Прилеп,//reklama5.mk/photos/big/0594c0e1-9405-487c-9270-db6e1ad0cc4a.jpg
Opel Corsa 1.4 2009 godina,2009,"200,000 km",66 kW (89 Hp),"3.190
 €",Карпош / Скопје,//reklama5.mk/photos/big/92fb4b51-6ca7-43cd-b021-4f555b5a9c66.jpg
JEEP WRANGLER- RUBICON,2008,"170,000 km",125 kW (168 Hp),По Договор,Прилеп,//reklama5.mk/photos/big/046601ba-ca2a-4097-af43-9a5596cb887b.jpg
SEAT LEON,2006,"250,000 km",103 kW (138 Hp),"3.900
 €",Битола,//reklama5.mk/photos/big/64fe5880-1fa5-4523-980d-60c29af8d3cb.jpg
